ffffc4f85b60efc5b52347df489d0238,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <cd>four</cd> <nns>iPods</nns> <pp>.</pp>
ffffac55ee02a49d1abc87ba6fc61135,<ppl>``</ppl> <md>Can</md> <prp>you</prp> <vbp>imagine</vbp> <vbg>having</vbg> <to>to</to> <vb>translate</vb> <nn>everything</nn> <prp>you</prp> <vbd>read</vbd> <in>into</in> <nn>sign</nn> <nn>language</nn> <cc>and</cc> <vb>relate</vb> <prp>it</prp> <to>to</to> <wp>what</wp> <prp>you</prp> <rb>already</rb> <vb>know</vb> <pp>?</pp>
ffffac55ee02a49d1abc87ba6fc61135,<nn>Help</nn> <prp>us</prp> <vbp>do</vbp> <rb>just</rb> <in>that</in> <in>by</in> <vbg>giving</vbg> <prp>us</prp> <det>the</det> <nn>camera</nn> <in>that</in> <nn>will</nn> <nn>record</nn> <prps>our</prps> <nns>stories</nns> <cc>and</cc> <nns>interpretations</nns> <pp>!</pp>
ffffac55ee02a49d1abc87ba6fc61135,<nnp>\n</nnp> <nnp>\nMy</nnp> <nns>students</nns> <vbp>are</vbp> <det>all</det> <jj>deaf</jj> <cc>or</cc> <jj>hard</jj> <in>of</in> <nn>hearing</nn> <wp>who</wp> <vbp>are</vbp> <vbg>struggling</vbg> <to>to</to> <vb>master</vb> <nn>reading</nn> <cc>and</cc> <nn>language</nn> <nns>skills</nns> <in>at</in> <det>the</det> <jj>same</jj> <nn>time</nn> <pp>.</pp>
ffffac55ee02a49d1abc87ba6fc61135,<nnp>My</nnp> <nns>students</nns> <vbp>have</vbp> <vbg>varying</vbg> <nns>levels</nns> <in>of</in> <nn>benefit</nn> <in>from</in> <nn>hearing</nn> <nns>aids</nns> <cc>or</cc> <nn>cochlear</nn> <nns>implants</nns>
ffff97ed93720407d70a2787475932b0,<cc>but</cc> <prps>my</prps> <nns>students</nns> <vbp>are</vbp> <jj>worth</jj> <prp>it</prp> <pp>.</pp>
ffff97ed93720407d70a2787475932b0,<prp>They</prp> <vbp>deserve</vbp> <to>to</to> <vb>have</vb> <det>the</det> <jj>proper</jj> <nns>supplies</nns> <to>to</to> <vb>ensure</vb> <in>that</in> <prps>their</prps> <jj>long</jj> <nn>education</nn> <vbz>gets</vbz> <rb>off</rb> <to>to</to> <det>the</det> <nn>right</nn> <nn>start</nn>
ffff7266778f71242675416e600b94e1,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <cd>25</cd> <nns>copies</nns> <in>of</in> <nnp>Scholastic</nnp> <pos>'s</pos> <ppl>``</ppl> <ppl>``</ppl> <vb>Let</vb> <vbz>'s</vbz> <vbp>Find</vbp> <in>Out</in> <pp>!</pp> <ppr>''</ppr> <ppr>''</ppr> <jj>weekly</jj> <nn>magazine</nn> <pp>!</pp> <ppr>''</ppr>
ffff418bb42fad24347527ad96100f81,<rb>thus</rb> <vbg>making</vbg> <prp>it</prp> <jj>possible</jj> <in>for</in> <prps>my</prps> <nns>students</nns> <to>to</to> <vb>reach</vb> <prps>their</prps> <nn>goal</nn> <in>of</in> <vbg>becoming</vbg> <nn>life</nn> <rb>long</rb> <nns>learners</nns>
fffeebf4827d745aa36b17c2d38d1966,<in>like</in> <nn>sleigh</nn> <nns>bells</nns> <cc>and</cc> <nns>mallets</nns>
fffee68353ade53e7692b23098096683,<det>the</det> <jjr>more</jjr> <jj>likely</jj> <prp>they</prp> <vbp>are</vbp> <to>to</to> <vb>be</vb> <vbn>motivated</vbn> <to>to</to> <pp>.</pp> <ppr>''</ppr>
fffec078a2249c2365f3086a6eac7e4a,<ppl>``</ppl> <det>The</det> <nn>cost</nn> <det>the</det> <nnp>Grade</nnp> <nnp>K</nnp> <nnp>Audiobook</nnp> <nn>Collection</nn> <in>from</in> <jj>Recorded</jj> <nns>Books</nns>
fffeb510ee37a0bb01079f06bf141246,<nn>age</nn> <pp>.</pp> <ppr>''</ppr>
fffeb149cd9b85d802b2500368fd605e,<ppl>``</ppl> <prp>I</prp> <vbp>teach</vbp> <cd>3rd</cd> <nn>grade</nn> <in>in</in> <det>a</det> <nn>high-need</nn> <nn>community</nn> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<prp>I</prp> <vbp>have</vbp> <jj>amazing</jj> <nns>students</nns> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<det>The</det> <nn>majority</nn> <in>of</in> <nns>students</nns> <in>in</in> <prps>my</prps> <nn>school</nn> <vbp>are</vbp> <jj>Hispanic</jj> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<prp>We</prp> <vbp>have</vbp> <jj>many</jj> <jj>English</jj> <nn>Language</nn> <nnp>Learners</nnp> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<nnp>\n</nnp> <nnp>\nMany</nnp> <in>of</in> <prps>my</prps> <nns>students</nns> <vbp>face</vbp> <det>a</det> <jj>difficult</jj> <nn>situation-a</nn> <nn>language</nn> <nn>barrier</nn> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<det>The</det> <nns>students</nns> <vbp>are</vbp> <rb>very</rb> <jj>interested</jj> <in>in</in> <nn>reading</nn> <cc>and</cc> <det>the</det> <jj>English</jj> <nn>language</nn> <pp>.</pp>
fffeb149cd9b85d802b2500368fd605e,<jj>Many</jj> <in>of</in> <prp>them</prp> <md>can</md> <vb>speak</vb> <det>the</det> <nn>language</nn>
fffeaae9482c9b72cab5bbd3f061d362,<jj>such</jj> <in>as</in> <ppl>``</ppl> <ppl>``</ppl> <nnp>Chicka</nnp> <nnp>Chicka</nnp> <nn>Boom</nn> <nn>Boom</nn> <ppr>''</ppr> <ppr>''</ppr>
fffe700e315373fc1014290cf0c12f51,<prps>our</prps> <nn>technology</nn> <nns>resources</nns> <vbp>are</vbp> <vbn>limited</vbn> <pp>.</pp>
